θ,cost,cost_baseline
5.0,1.1146851338891133,1.1256250430973862
5.05,1.0710532096081729,1.0738710049536642
5.1,1.032035388855147,1.0270360060256216
5.15,0.9976016891484034,0.985080594543853
5.2,0.9677235766950014,0.947951659393323
5.25,0.9423742699185642,0.9155984080629184
5.3,0.9215278898295376,0.8879938702785011
5.35,0.905160004398492,0.8650903541654317
5.4,0.8932469946824921,0.8468549238975591
5.45,0.8857662270295357,0.8332493055529128
5.5,0.8826958317638585,0.8242433081834022
5.55,0.8840147565857762,0.8198036194376814
5.6,0.8897023593081963,0.8199022823123233
5.65,0.8997384314535307,0.824513831718983
5.7,0.9141032219899342,0.8336039554177854
5.75,0.932777324578051,0.8471522200074518
5.8,0.9557414490771738,0.8651312181946464
5.85,0.9829765404044576,0.8875157578633459
5.9,1.0144638109796162,0.9142808589711842
5.95,1.0501842481181745,0.9454062775738873
6.0,1.0901189448752977,0.9808652816431256
6.05,1.1342488738448355,1.0206391673335957
6.1,1.182554777971346,1.064698342791285
6.15,1.2350175702583608,1.1130293263959061
6.2,1.2916175752468768,1.1656019514177902
6.25,1.352335004721744,1.222397893336764
6.3,1.4171500235781365,1.2833949696209994
6.35,1.4860423500300244,1.3485677394292064
6.4,1.5589913401637807,1.4179065020022614
6.45,1.635976111904424,1.491369195636455
6.5,1.7169754392516152,1.5689448045535581
6.55,1.8019675136021815,1.6506090721310926
6.6,1.8909302544105695,1.7363395207002121
6.65,1.9838410128927924,1.826110913808641
6.7,2.0806768094537795,1.9199013851566895
6.75,2.1814141017082918,2.0176858831585847
6.8,2.286028797294618,2.119441126996683
6.85,2.394496379121726,2.225142685129396
6.9,2.5067917136287194,2.3347545733190582
6.95,2.622889393239809,2.4482669848004806
7.0,2.7427631638820387,2.565649970185312
7.05,2.8663863173154875,2.6868681747011247
7.1,2.9937316957631945,2.8119001011307545
7.15,3.1247719449032667,2.9407291853781166
7.2,3.2594787667860077,3.073313235422518
7.25,3.3978233759483616,3.2096267591263024
7.3,3.5397766509850235,3.349645021877503
7.35,3.685308733542081,3.4933320213447856
7.4,3.8343893752843647,3.6406568210583794
7.45,3.9869876270747424,3.7915942007718364
7.5,4.143072381995289,3.9461104632012165
