θ,cost,cost_baseline
5.0,1.197392324195581,1.0016990053995416
5.05,1.1155595873647974,0.9496179960736646
5.1,1.0394707821242664,0.9019721050354033
5.15,0.9691234706497424,0.8587738862640844
5.2,0.9045099757707515,0.8200413136612053
5.25,0.8456189029188652,0.7857890772219539
5.3,0.7924350597522936,0.7560241069453515
5.35,0.7449383003119895,0.7307598884449142
5.4,0.70310723957298,0.7100033087717221
5.45,0.6669153213907816,0.6937629547318734
5.5,0.6363353999547968,0.6820446640395154
5.55,0.6113367422187943,0.6748502940189272
5.6,0.5918868492559735,0.6721817194528398
5.65,0.5779508523174026,0.6740399727228316
5.7,0.5694926285769984,0.6804233884784733
5.75,0.5664744780034058,0.691328053748229
5.8,0.5688575798073499,0.7067485202872511
5.85,0.5766017116611217,0.7266772594940071
5.9,0.5896659634822978,0.7511068629762481
5.95,0.6080080508935272,0.7800276387805009
6.0,0.6315861091860221,0.8134260955614687
6.05,0.6603571031592467,0.8512898080608589
6.1,0.6942775342383016,0.8936040222724577
6.15,0.7333040732277921,0.9403529112589452
6.2,0.7773927408439084,0.9915179695952798
6.25,0.8265003166535075,1.0470817805382013
6.3,0.880582840545915,1.1070247229605061
6.35,0.9395962769424059,1.1713247868712768
6.4,1.0034972626428509,1.2399628787378303
6.45,1.072242705908073,1.3129125901294911
6.5,1.1457891468965031,1.3901530776467408
6.55,1.2240943515586138,1.47165944021384
6.6,1.307115251225376,1.5574071530218156
6.65,1.3948106722536968,1.6473708920175638
6.7,1.4871383319518978,1.741524998921216
6.75,1.5840558596386476,1.8398428493291086
6.8,1.6855193396935315,1.9422989733268767
6.85,1.7914886917509592,2.0488672897108713
6.9,1.9019232070076715,2.1595189765135467
6.95,2.0167855298797965,2.2742279929323446
7.0,2.1360365375237444,2.392969749138336
7.05,2.2596409458275017,2.515715012736181
7.1,2.3875636836127803,2.6424378017340473
7.15,2.5197702419185704,2.7731140079856953
7.2,2.6562283562804336,2.9077154704092245
7.25,2.7969058851783815,3.0462166777922426
7.3,2.9417734713747534,3.188594486813511
7.35,3.0908009596095516,3.3348227171970968
7.4,3.2439617015610205,3.484875312089522
7.45,3.401227931104142,3.6387318781788256
7.5,3.5625723812526386,3.7963664271022286
